RXAtom_AUI,Most_Useful_Source_CODE,Source_Abbreviation,Term_Type_In_Source_TTY,Drug_String,Old_RXConcept_CUI,New_RXConcept_CUI
1105211,400309007,SNOMEDCT_US,SY,"Isoproterenol hydrochloride 1:50,000mg injection",1667915,1667909
1117121,3335,MMSL,CD,tioconazole topical 6.5% vaginal ointment w/applicator,198380,1597827
1117123,13397,MDDB,CD,Tioconazole Vaginal Oint 6.5%,198380,1597827
1117125,4009645,VANDF,CD,"TIOCONAZOLE 6.5%/APPLICATOR OINT,VAG",1233674,1597827
1117127,4009646,VANDF,CD,"TIOCONAZOLE 6.5% OINT,VAG",1233674,1597827
1127896,400591001,SNOMEDCT_US,SY,Levofloxacin 5mg/mL injection,1665528,1665497
1135298,6,MMSL,BD,"Albutein, 5% intravenous solution",202209,1741406
1142204,5602,MMSL,BD,"Albutein, 20% intravenous solution",204112,1742218
1143750,4003626,VANDF,CD,HALOPERIDOL 5MG/ML (PF) INJ,1719647,1740430
1143935,4002997,VANDF,CD,FAMOTIDINE 10MG/ML INJ,204441,1743840
1143958,376965008,SNOMEDCT_US,FN,Famotidine 10mg/mL injection solution ampule (product),204441,1743850
1143959,376965008,SNOMEDCT_US,PT,Famotidine 10mg/mL injection solution ampule,204441,1743850
1143960,376965008,SNOMEDCT_US,PTGB,Famotidine 10mg/mL injection solution ampoule,204441,1743850
1143961,376965008,SNOMEDCT_US,SY,Famotidine 10mg/mL injection,204441,1743850
1155398,2318,MMSL,BD,"A-Methapred, 500 mg injectable powder for injection",207192,1744023
1155536,2356,MMSL,BD,"Bactocill, 500 mg injectable powder for injection",207238,1743540
1160815,3688,MMSL,BD,"Mutamycin, 20 mg intravenous powder for injection",209175,1740878
1160816,3689,MMSL,BD,"Mutamycin, 40 mg intravenous powder for injection",209175,1740878
1160817,3687,MMSL,BD,"Mutamycin, 5 mg intravenous powder for injection",209175,1740878
1171103,6,MMSL,BD,"Albumin, Normal Serum, Human, 5% intravenous solution",238644,1741405
1171105,6,MMSL,BD,"Albuminar-5, 5% intravenous solution",213520,1741763
1171108,6,MMSL,BD,"Albunex, 5% intravenous solution",213521,1742682
1171111,6,MMSL,BD,"Buminate, 5% intravenous solution",213522,1741766
1171114,6,MMSL,BD,"Plasbumin-5, 5% intravenous solution",545410,1742229
1172159,8,MMSL,BD,"Albumarc, 25% intravenous solution",213987,1742679
1172162,8,MMSL,BD,"Albuminar-25, 25% intravenous solution",213989,1741759
1172165,8,MMSL,BD,"Buminate, 25% intravenous solution",213990,1741572
1172168,8,MMSL,BD,"Plasbumin-25, 25% intravenous solution",545408,1742396
1173723,d04265,MMSL,GN,ofloxacin otic,387905,1160453
1227592,319518005,SNOMEDCT_US,SY,Dopamine hydrochloride 200mg/5mL infusion concentrate,1114880,1743941
1227600,01420,MDDB,CD,Dopamine HCl Inj 40 MG/ML,1114880,1743939
1227601,4005822,VANDF,CD,DOPAMINE HCL 40MG/ML INJ,1114880,1743939
1227615,400220005,SNOMEDCT_US,FN,Dopamine hydrochloride 40mg/mL injection solution 100mL vial (product),1114880,1743948
1227616,400220005,SNOMEDCT_US,PT,Dopamine hydrochloride 40mg/mL injection solution 100mL vial,1114880,1743948
1227617,400885005,SNOMEDCT_US,FN,Dopamine hydrochloride 40mg/mL injection solution 10mL vial (product),1114880,1743938
1227618,400885005,SNOMEDCT_US,PT,Dopamine hydrochloride 40mg/mL injection solution 10mL vial,1114880,1743938
1227619,319518005,SNOMEDCT_US,PT,Dopamine hydrochloride 40mg/mL infusion concentrate 5mL ampule,1114880,1743941
1227620,319518005,SNOMEDCT_US,PTGB,Dopamine hydrochloride 40mg/mL infusion concentrate 5mL ampoule,1114880,1743941
1227621,319518005,SNOMEDCT_US,FN,Dopamine hydrochloride 40mg/mL infusion concentrate 5mL ampule (product),1114880,1743941
1227622,400498009,SNOMEDCT_US,FN,Dopamine hydrochloride 40mg/mL injection solution 5mL vial (product),1114880,1743941
1227623,400498009,SNOMEDCT_US,PT,Dopamine hydrochloride 40mg/mL injection solution 5mL vial,1114880,1743941
1227656,01421,MDDB,CD,Dopamine HCl Inj 80 MG/ML,1114888,1743951
1227657,4005823,VANDF,CD,DOPAMINE HCL 80MG/ML INJ,1114888,1743951
1227666,400401006,SNOMEDCT_US,FN,Dopamine hydrochloride 80mg/mL injection solution 10mL vial (product),1114888,1743950
1227667,400401006,SNOMEDCT_US,PT,Dopamine hydrochloride 80mg/mL injection solution 10mL vial,1114888,1743950
1227668,400507008,SNOMEDCT_US,FN,Dopamine hydrochloride 80mg/mL injection solution 5mL vial (product),1114888,1743953
1227669,400507008,SNOMEDCT_US,PT,Dopamine hydrochloride 80mg/mL injection solution 5mL vial,1114888,1743953
1229981,8,MMSL,BD,"Albumin Human, 25% intravenous solution",238643,1741378
1229982,8,MMSL,CD,albumin human 25% intravenous solution,238643,1741378
1229988,4003898,VANDF,CD,"ALBUMIN,HUMAN 25% INJ",238643,1741378
1229990,04967,MDDB,CD,"Albumin, Human Inj 25%",238643,1741378
1229998,374703008,SNOMEDCT_US,FN,Albumin human 25% solution (product),238643,1741378
1229999,374703008,SNOMEDCT_US,PT,Albumin human 25% solution,238643,1741378
1230010,6,MMSL,BD,"Albumin Human, 5% intravenous solution",238644,1741405
1230011,6,MMSL,CD,albumin human 5% intravenous solution,238644,1741405
1230017,4003897,VANDF,CD,"ALBUMIN,HUMAN 5% INJ",238644,1741405
1230019,04966,MDDB,CD,"Albumin, Human Inj 5%",238644,1741405
1230029,384829008,SNOMEDCT_US,FN,Human albumin 5% infusion solution bottle (product),238644,1741405
1230030,384829008,SNOMEDCT_US,PT,Human albumin 5% infusion solution bottle,238644,1741405
1230031,406291007,SNOMEDCT_US,FN,Human albumin 5% infusion solution 100 mL vial (product),238644,1741410
1230032,406291007,SNOMEDCT_US,PT,Human albumin 5% infusion solution 100 mL vial,238644,1741410
1230033,404883007,SNOMEDCT_US,FN,Human albumin 5% infusion solution 250mL bottle (product),238644,1741420
1230034,404883007,SNOMEDCT_US,PT,Human albumin 5% infusion solution 250mL bottle,238644,1741420
1230035,406290008,SNOMEDCT_US,FN,Human albumin 5% infusion solution 50 mL vial (product),238644,1741403
1230036,406290008,SNOMEDCT_US,PT,Human albumin 5% infusion solution 50 mL vial,238644,1741403
1230037,404884001,SNOMEDCT_US,FN,Human albumin 5% infusion solution 500mL bottle (product),238644,1741423
1230038,404884001,SNOMEDCT_US,PT,Human albumin 5% infusion solution 500mL bottle,238644,1741423
1231489,4003433,VANDF,CD,"METHYLPREDNISOLONE ACETATE 80MG/ML INJ,SUSP",1358617,1743943
1234746,324176008,SNOMEDCT_US,SY,Tobramycin 40mg/1mL injection,597823,1740484
1234748,324177004,SNOMEDCT_US,SY,Tobramycin 80mg/2mL injection,597823,1740489
1234806,324176008,SNOMEDCT_US,FN,Tobramycin 40mg/mL injection solution 1mL ampule (product),597823,1740484
1234807,324176008,SNOMEDCT_US,PT,Tobramycin 40mg/mL injection solution 1mL ampule,597823,1740484
1234808,324176008,SNOMEDCT_US,PTGB,Tobramycin 40mg/mL injection solution 1mL ampoule,597823,1740484
1234811,324177004,SNOMEDCT_US,FN,Tobramycin 40mg/mL injection solution 2mL ampule (product),597823,1740489
1234812,324177004,SNOMEDCT_US,PT,Tobramycin 40mg/mL injection solution 2mL ampule,597823,1740489
1234813,324177004,SNOMEDCT_US,PTGB,Tobramycin 40mg/mL injection solution 2mL ampoule,597823,1740489
1238773,400316008,SNOMEDCT_US,SY,Epoetin alfa 10000unt/mL injection,1721684,240000
1242641,406377004,SNOMEDCT_US,FN,Methylene blue 1% injection solution 5 mL vial (product),1737851,1741322
1242642,406377004,SNOMEDCT_US,PT,Methylene blue 1% injection solution 5 mL vial,1737851,1741322
1259112,327831004,SNOMEDCT_US,SY,Human albumin 20% infusion,245161,1741293
1259114,5602,MMSL,CD,albumin human 20% intravenous solution,245161,1741293
1259124,327831004,SNOMEDCT_US,FN,Human albumin 20% infusion solution vial (product),245161,1741293
1259125,327831004,SNOMEDCT_US,PT,Human albumin 20% infusion solution vial,245161,1741293
1259126,406265006,SNOMEDCT_US,FN,Human albumin 20% infusion solution 100 mL vial (product),245161,1741295
1259127,406265006,SNOMEDCT_US,PT,Human albumin 20% infusion solution 100 mL vial,245161,1741295
1259128,406263004,SNOMEDCT_US,FN,Human albumin 20% infusion solution 5 mL vial (product),245161,1742410
1259129,406263004,SNOMEDCT_US,PT,Human albumin 20% infusion solution 5 mL vial,245161,1742410
1259130,406264005,SNOMEDCT_US,FN,Human albumin 20% infusion solution 50 mL vial (product),245161,1741290
1259131,406264005,SNOMEDCT_US,PT,Human albumin 20% infusion solution 50 mL vial,245161,1741290
1351233,4004270,VANDF,CD,BUPIVACAINE HCL 0.25% INJ,1725080,1739979
1354594,322172006,SNOMEDCT_US,SY,Ondansetron 4mg/2mL injection,283504,1740467
1354596,322179002,SNOMEDCT_US,SY,Ondansetron 8mg/4mL injection,283504,1740855
1354606,322172006,SNOMEDCT_US,FN,Ondansetron 2mg/mL injection solution 2mL ampule (product),283504,1740467
1354607,322172006,SNOMEDCT_US,PT,Ondansetron 2mg/mL injection solution 2mL ampule,283504,1740467
1354608,322172006,SNOMEDCT_US,PTGB,Ondansetron 2mg/mL injection solution 2mL ampoule,283504,1740467
1354609,322179002,SNOMEDCT_US,FN,Ondansetron 2mg/mL injection solution 4mL ampule (product),283504,1740855
1354610,322179002,SNOMEDCT_US,PT,Ondansetron 2mg/mL injection solution 4mL ampule,283504,1740855
1354611,322179002,SNOMEDCT_US,PTGB,Ondansetron 2mg/mL injection solution 4mL ampoule,283504,1740855
1354697,327526009,SNOMEDCT_US,PT,Iron hydroxide sucrose complex 100mg/5mL(Fe) intravenous solution,283517,1741267
1354704,4015698,VANDF,CD,IRON SUCROSE 20MG/ML INJ,283517,1741264
1354706,30616,MDDB,CD,Iron Sucrose Inj 20 MG/ML (Fe Equiv),283517,1741264
1354707,374424002,SNOMEDCT_US,SY,Iron sucrose 100mg/5 mL injection,283517,1741267
1354708,327526009,SNOMEDCT_US,FN,Iron hydroxide sucrose complex 100mg/5mL(Fe) intravenous solution (product),283517,1741267
1354709,374424002,SNOMEDCT_US,FN,Iron sucrose 20mg/mL injection solution 5mL ampule (product),283517,1741267
1354710,374424002,SNOMEDCT_US,PT,Iron sucrose 20mg/mL injection solution 5mL ampule,283517,1741267
1354711,374424002,SNOMEDCT_US,PTGB,Iron sucrose 20mg/mL injection solution 5mL ampoule,283517,1741267
1357243,8253,MMSL,CD,hydroxypropyl methylcellulose ophthalmic 2% intraocular solution,284186,727866
1397334,5757,MMSL,BD,"Acidophilus, oral tablet",701577,1742044
1397596,4001531,VANDF,CD,"ALBUMIN,CHROMATED SERUM,CR-51 50MCG/ML INJ",307774,1742676
1397602,4001512,VANDF,CD,"ALBUMIN,IODINATED,I-131,SERUM 10MG/ML INJ",307776,1742677
1415364,4003398,VANDF,CD,DAUNORUBICIN HCL 20MG/VIL INJ,1736559,1736573
1419180,01423,MDDB,CD,Dopamine Inj 0.8 MG/ML in D5W,1292740,1743870
1419182,4006165,VANDF,CD,DOPAMINE HCL 0.8MG/ML/DEXTROSE 5% INJ,1292740,1743870
1422806,4008141,VANDF,CD,"EUCALYPTUS OIL 100% LIQUID,DENT",310250,1743164
1423413,4013033,VANDF,CD,FERUMOXIDES 11.2MG/ML (IRON) INJ,310329,1739530
1423727,327016009,SNOMEDCT_US,SY,Fludarabine 50mg injection (pdr for recon),310354,1740864
1423728,2297,MMSL,CD,fludarabine 50 mg intravenous powder for injection,310354,1740864
1423732,4009362,VANDF,CD,FLUDARABINE PO4 50MG/VIL INJ,310354,1740864
1423739,327016009,SNOMEDCT_US,FN,Fludarabine 50mg powder for injection solution vial (product),310354,1740864
1423740,327016009,SNOMEDCT_US,PT,Fludarabine 50mg powder for injection solution vial,310354,1740864
1423741,2297,MMSL,BD,"Fludarabine Phosphate, 50 mg intravenous powder for injection",310354,1740864
1426345,1369,MMSL,BD,"Glucagon, 1 mg injectable powder for injection",310497,1744191
1426353,4000931,VANDF,CD,GLUCAGON 1MG/VIL INJ,310497,1744191
1428469,4003351,VANDF,CD,HEPARIN NA 50UNT/ML/NACL 0.45% INJ,1659187,1659196
1428473,4006254,VANDF,CD,HEPARIN NA 50UNT/ML/DEXTROSE 5% INJ,1659187,1659196
1439208,2197,MMSL,CD,methohexital 500 mg intravenous powder for injection,1244231,1244233
1439215,03819,MDDB,CD,Methohexital Sodium For Inj 2.5 GM,1244231,1244233
1439220,4000930,VANDF,CD,METHOHEXITAL NA 2.5GM/VIL INJ,1244231,1244233
1439224,4000928,VANDF,CD,METHOHEXITAL NA 5GM/VIL INJ,1244231,1741139
1439247,376865007,SNOMEDCT_US,FN,Methohexital sodium 2.5g/vial powder (product),1244231,1244233
1439248,376865007,SNOMEDCT_US,PT,Methohexital sodium 2.5g/vial powder,1244231,1244233
1439249,376846004,SNOMEDCT_US,FN,Methohexital sodium 500mg/vial powder (product),1244231,1244233
1439250,376846004,SNOMEDCT_US,PT,Methohexital sodium 500mg/vial powder,1244231,1244233
1439251,376840005,SNOMEDCT_US,FN,Methohexital sodium 5g powder for injection solution vial (product),1244231,1741139
1439252,376840005,SNOMEDCT_US,PT,Methohexital sodium 5g powder for injection solution vial,1244231,1741139
1439253,376840005,SNOMEDCT_US,SY,Methohexital sodium 5g/vial injection,1244231,1741139
1439954,322122009,SNOMEDCT_US,SY,Metoclopramide hydrochloride 100mg/20mL injection,311670,1740919
1440003,322122009,SNOMEDCT_US,FN,Metoclopramide hydrochloride 5mg/mL injection solution 20mL vial (product),311670,1740919
1440004,322122009,SNOMEDCT_US,PT,Metoclopramide hydrochloride 5mg/mL injection solution 20mL vial,311670,1740919
1445574,2356,MMSL,CD,oxacillin 500 mg injectable powder for injection,312130,1743550
1445575,2356,MMSL,BD,"Oxacillin Sodium, 500 mg injectable powder for injection",312130,1743550
1445582,00085,MDDB,CD,Oxacillin Sodium For Inj 1 GM,312130,1743547
1445583,00086,MDDB,CD,Oxacillin Sodium For Inj 2 GM,312130,1743549
1445591,4003857,VANDF,CD,OXACILLIN NA 1GM/VIL INJ,312130,1743547
1445594,4003853,VANDF,CD,OXACILLIN NA 2GM/VIL INJ,312130,1743549
1445597,4003856,VANDF,CD,OXACILLIN NA 500MG/VIL INJ,312130,1743550
1445615,374130006,SNOMEDCT_US,FN,Oxacillin sodium 1g powder for injection solution vial (product),312130,1743547
1445616,374130006,SNOMEDCT_US,PT,Oxacillin sodium 1g powder for injection solution vial,312130,1743547
1445617,374130006,SNOMEDCT_US,SY,Oxacillin sodium 1g injection,312130,1743547
1445618,392316003,SNOMEDCT_US,FN,Oxacillin sodium 250mg injection (product),312130,1743553
1445619,392316003,SNOMEDCT_US,PT,Oxacillin sodium 250mg injection,312130,1743553
1445620,374131005,SNOMEDCT_US,FN,Oxacillin sodium 2g powder for injection solution vial (product),312130,1743549
1445621,374131005,SNOMEDCT_US,PT,Oxacillin sodium 2g powder for injection solution vial,312130,1743549
1445622,374131005,SNOMEDCT_US,SY,Oxacillin sodium 2g injection,312130,1743549
1445623,392321000,SNOMEDCT_US,FN,Oxacillin sodium 4g injection (product),312130,1743551
1445624,392321000,SNOMEDCT_US,PT,Oxacillin sodium 4g injection,312130,1743551
1445625,392317007,SNOMEDCT_US,FN,Oxacillin sodium 500mg injection (product),312130,1743550
1445626,392317007,SNOMEDCT_US,PT,Oxacillin sodium 500mg injection,312130,1743550
1457111,4004925,VANDF,CD,"SODIUM FLUORIDE 1.1MG TAB,CHEWABLE",313036,315213
1461450,324175007,SNOMEDCT_US,SY,Tobramycin 20mg/2mL injection,313416,1740482
1461462,370324005,SNOMEDCT_US,FN,Tobramycin 10mg/mL injection solution 1mL ampule (product),313416,1740483
1461463,370324005,SNOMEDCT_US,PT,Tobramycin 10mg/mL injection solution 1mL ampule,313416,1740483
1461464,370324005,SNOMEDCT_US,PTGB,Tobramycin 10mg/mL injection solution 1mL ampoule,313416,1740483
1461465,370324005,SNOMEDCT_US,SY,Tobramycin 10mg/1mL injection,313416,1740483
1461466,324175007,SNOMEDCT_US,FN,Tobramycin 10mg/mL injection solution 2mL ampule (product),313416,1740482
1461467,324175007,SNOMEDCT_US,PT,Tobramycin 10mg/mL injection solution 2mL ampule,313416,1740482
1461468,324175007,SNOMEDCT_US,PTGB,Tobramycin 10mg/mL injection solution 2mL ampoule,313416,1740482
1462407,374341004,SNOMEDCT_US,SY,Trimethobenzamide hydrochlor 100mg/mL injection,1726683,1726694
1469339,326814002,SNOMEDCT_US,PT,Mitomycin 20mg injection (pdr for recon),314096,1740900
1469359,4003769,VANDF,CD,MITOMYCIN 0.5MG/ML INJ,314096,1741373
1469361,4003768,VANDF,CD,MITOMYCIN 20MG/VIL INJ,314096,1740900
1469363,4003770,VANDF,CD,MITOMYCIN 40MG/MANNITOL 80MG/VIL INJ,314096,1740898
1469365,4003767,VANDF,CD,MITOMYCIN 5MG/VIL INJ,314096,1740894
1469386,326815001,SNOMEDCT_US,FN,Mitomycin 10mg powder for injection solution vial (product),314096,1740901
1469387,326815001,SNOMEDCT_US,PT,Mitomycin 10mg powder for injection solution vial,314096,1740901
1469388,326814002,SNOMEDCT_US,FN,Mitomycin 20mg injection (pdr for recon) (product),314096,1740900
1469389,326814002,SNOMEDCT_US,SY,Mitomycin 20mg/vial powder,314096,1740900
1469390,326816000,SNOMEDCT_US,FN,Mitomycin 2mg powder for injection solution vial (product),314096,1741372
1469391,326816000,SNOMEDCT_US,PT,Mitomycin 2mg powder for injection solution vial,314096,1741372
1469392,326813008,SNOMEDCT_US,FN,Mitomycin 40mg powder for injection solution vial (product),314096,1740898
1469393,326813008,SNOMEDCT_US,PT,Mitomycin 40mg powder for injection solution vial,314096,1740898
1469394,384898008,SNOMEDCT_US,FN,Mitomycin 40mg injection solution vial (product),314096,1740898
1469395,384898008,SNOMEDCT_US,PT,Mitomycin 40mg injection solution vial,314096,1740898
1469396,384897003,SNOMEDCT_US,FN,Mitomycin 5mg injection solution vial (product),314096,1740894
1469397,384897003,SNOMEDCT_US,PT,Mitomycin 5mg injection solution vial,314096,1740894
1469495,2320,MMSL,CD,methylPREDNISolone 125 mg injectable powder for injection,314099,1743704
1469504,00694,MDDB,CD,Methylprednisolone Sodium Succinate For Inj 125 MG,314099,1743704
1469509,4003430,VANDF,CD,METHYLPREDNISOLONE NA SUCCINATE 125MG/VIL INJ,314099,1743704
1469531,374055002,SNOMEDCT_US,SY,Methylprednisolone sodium su 125mg/2mL injection,314099,1743704
1469532,374055002,SNOMEDCT_US,FN,Methylprednisolone sodium succinate 125mg powder for injection solution vial (product),314099,1743704
1469534,325417008,SNOMEDCT_US,FN,Methylprednisolone 125mg powder and solvent for injection solution vial (product),314099,1743704
1469535,374055002,SNOMEDCT_US,PT,Methylprednisolone sodium succinate 125mg powder for injection solution vial,314099,1743704
1469537,325417008,SNOMEDCT_US,PT,Methylprednisolone 125mg powder and solvent for injection solution vial,314099,1743704
1475554,4004930,VANDF,CD,SODIUM FLUORIDE 0.05% SOLN,597965,240698
1533785,4003432,VANDF,CD,"METHYLPREDNISOLONE ACETATE 40MG/ML INJ,SUSP",1358610,1743816
1533852,325422008,SNOMEDCT_US,FN,Methylprednisolone acetate 40mg/mL injection suspension 1mL vial (product),1358610,1743779
1533853,325422008,SNOMEDCT_US,PT,Methylprednisolone acetate 40mg/mL injection suspension 1mL vial,1358610,1743779
1533854,325423003,SNOMEDCT_US,FN,Methylprednisolone acetate 40mg/mL injection suspension 2mL vial (product),1358610,1743854
1533855,325423003,SNOMEDCT_US,PT,Methylprednisolone acetate 40mg/mL injection suspension 2mL vial,1358610,1743854
1533856,325399008,SNOMEDCT_US,FN,Methylprednisolone acetate 40mg/mL injection suspension 3mL vial (product),1358610,1743853
1533857,325399008,SNOMEDCT_US,PT,Methylprednisolone acetate 40mg/mL injection suspension 3mL vial,1358610,1743853
1549555,5602,MMSL,BD,"Plasbumin-20, 20% intravenous solution",1095496,1741312
1634679,375722009,SNOMEDCT_US,PT,Tioconazole 6.5% ointment,198380,1597827
1634680,375722009,SNOMEDCT_US,FN,Tioconazole 6.5% ointment (product),198380,1597827
1634797,375590005,SNOMEDCT_US,FN,Sodium fluoride 500micrograms tablet (product),392045,141988
1634798,375590005,SNOMEDCT_US,PT,Sodium fluoride 500micrograms tablet,392045,141988
1666370,6,MMSL,BD,"Albumin-Alpine, 5% intravenous solution",404343,1742686
1666373,6,MMSL,BD,"Alburx, 5% intravenous solution",404344,1741900
1666785,8,MMSL,BD,"Albumin-Alpine, 25% intravenous solution",404546,1742685
1666788,8,MMSL,BD,"Alburx, 25% intravenous solution",404547,1742405
1912420,6,MMSL,BD,"Albumarc, 5% intravenous solution",213518,1742680
1912503,8,MMSL,BD,"Albumin, Normal Serum, Human, 25% intravenous solution",238643,1741378
1919651,4001364,VANDF,CD,HEPARIN NA (PORK) 5000UNT/ML INJ,1670380,1670358
1924230,400502002,SNOMEDCT_US,FN,Droperidol 2.5mg/mL injection solution 10mL vial (product),282485,1743572
1924231,400502002,SNOMEDCT_US,PT,Droperidol 2.5mg/mL injection solution 10mL vial,282485,1743572
1924232,401343008,SNOMEDCT_US,FN,Droperidol 2.5mg/mL injection solution 1mL vial (product),282485,1743572
1924233,401343008,SNOMEDCT_US,PT,Droperidol 2.5mg/mL injection solution 1mL vial,282485,1743572
1924234,400580008,SNOMEDCT_US,FN,Droperidol 2.5mg/mL injection solution 20mL vial (product),282485,1743572
1924235,400580008,SNOMEDCT_US,PT,Droperidol 2.5mg/mL injection solution 20mL vial,282485,1743572
1924238,400346006,SNOMEDCT_US,FN,Droperidol 2.5mg/mL injection solution 5mL vial (product),282485,1743572
1924239,400346006,SNOMEDCT_US,PT,Droperidol 2.5mg/mL injection solution 5mL vial,282485,1743572
1928571,01424,MDDB,CD,Dopamine Inj 1.6 MG/ML in D5W,1292751,1743878
1928573,4006166,VANDF,CD,DOPAMINE HCL 1.6MG/ML/DEXTROSE 5% INJ,1292751,1743878
1989926,007189,NDDF,CDA,METHYLBENZETHONIUM CHLORIDE TOPICAL EACH,29829,1742958
1989927,007189,NDDF,CDC,METHYLBENZETHONIUM CHLORIDE TOPICAL EACH,29829,1742958
1989947,007189,NDDF,CDD,METHYLBENZETHONIUM CHLORIDE@@TOPICAL@EACH,29829,1742958
