NDC_Description,NDC,Old_NADAC_Per_Unit,New_NADAC_Per_Unit,Classification_for_Rate_Setting,Percent_Change,Primary_Reason,Start_Date,End_Date
VYTORIN 10-40 MG TABLET,66582031354,8.23952,9.04949,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ALINIA 500 MG TABLET,67546011114,49.9382,54.39023,B,8.92%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-40 MG TABLET,66582031386,8.23952,9.04949,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
PROPECIA 1 MG TABLET,00006007131,2.94479,3.1206,B,5.97%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,1831.44809,1976.13249,B,7.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
"FOSAMAX PLUS D 70 MG-2,800 UNITS",00006071044,37.2975,39.4988,B,5.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
EMEND 80 MG CAPSULE,00006046102,159.97056,174.37593,B,9.01%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
HYZAAR 50-12.5 TABLET,00006071754,3.55203,3.76167,B,5.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
EMEND 40 MG CAPSULE,00006046410,86.15567,93.9114,B,9.00%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
CLARINEX-D 12 HOUR TABLET,00085132201,4.34612,4.60936,B,6.06%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
HUMIRA PEN CROHN'S-UC-HS START,00074433906,1845.43199,1991.22112,B,7.90%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ZETIA 10 MG TABLET,66582041476,8.35885,9.18326,B,9.86%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
NITRO-DUR 0.8 MG/HR PATCH,00085081935,5.14546,5.45311,B,5.98%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-20 MG TABLET,66582031231,8.29417,9.10953,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
ASMANEX TWISTHALER 220 MCG #60,00085134102,188.64544,201.86948,B,7.01%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-20 MG TABLET,66582031287,8.29417,9.10953,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
COZAAR 100 MG TABLET,00006096054,4.33316,4.5915,B,5.96%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
SINEMET 25-100 MG TABLET,00006391668,1.10446,1.17577,B,6.46%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
SINGULAIR 10 MG TABLET,00006911731,6.60522,7.00016,B,5.98%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
VYTORIN 10-10 MG TABLET,66582031131,8.28946,9.10434,B,9.83%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
PROSCAR 5 MG TABLET,00006007231,4.49673,4.77067,B,6.09%,WAC Adjustment,2016-06-22T00:00:00,2016-06-29T00:00:00
